,gene
0,ABCA13
1,ABCB5
2,ABHD16B
3,ACHE
4,ACTB
5,ACTL6B
6,ADAM22
7,ADAP1
8,ADCY1
9,ADCYAP1R1
10,ADRM1
11,AEBP1
12,AGFG2
13,AGMO
14,AGR2
15,AGR3
16,AHR
17,AIMP2
18,AKAP9
19,ALKBH4
20,AMPH
21,AMZ1
22,ANKIB1
23,ANKMY2
24,ANKRD61
25,ANLN
26,AOAH
27,AP1S1
28,AP4M1
29,AP5Z1
30,APCDD1L
31,AQP1
32,ARFGAP1
33,ARFRP1
34,ARL4A
35,ARMC10
36,ARPC1A
37,ARPC1B
38,ASB4
39,ASNS
40,ATXN7L1
41,AVL9
42,AZGP1
43,BAIAP2L1
44,BBS9
45,BET1
46,BHLHA15
47,BHLHE23
48,BIRC7
49,BLVRA
50,BMPER
51,BRAT1
52,BRI3
53,BUD31
54,BZW2
55,C1GALT1
56,C20orf85
57,C7orf25
58,C7orf26
59,C7orf31
60,C7orf50
61,C7orf57
62,C7orf61
63,CABLES2
64,CALCR
65,CAMK2B
66,CARD11
67,CASD1
68,CBX3
69,CCDC126
70,CCDC71L
71,CCM2
72,CCT6A
73,CCZ1
74,CCZ1B
75,CDCA7L
76,CDH26
77,CDH4
78,CDHR3
79,CDK13
80,CDK14
81,CDK6
82,CFAP69
83,CHCHD2
84,CHN2
85,CHRNA4
86,CHST12
87,CLDN12
88,CLDN15
89,CNPY4
90,COA1
91,COBL
92,COL1A2
93,COL20A1
94,COL26A1
95,COL28A1
96,COL9A3
97,COPS6
98,COX19
99,CPSF4
100,CPVL
101,CREB5
102,CRHR2
103,CTCFL
104,CTSZ
105,CUX1
106,CYCS
107,CYP2W1
108,CYP3A4
109,CYP3A43
110,CYP3A5
111,CYP3A7
112,CYP51A1
113,CYTH3
114,DAGLB
115,DBF4
116,DBNL
117,DDC
118,DDX56
119,DGKB
120,DIDO1
121,DLX5
122,DLX6
123,DMTF1
124,DNAAF5
125,DNAH11
126,DNAJC2
127,DNAJC5
128,DPY19L1
129,DYNC1I1
130,EDN3
131,EEF1A2
132,EEPD1
133,EFCAB10
134,EGFR
135,EIF2AK1
136,EIF3B
137,ELFN1
138,ELMO1
139,EPDR1
140,EPHB4
141,EPO
142,ERVW-1
143,ETV1
144,EVX1
145,FAM126A
146,FAM133B
147,FAM185A
148,FAM200A
149,FAM20C
150,FAM217B
151,FAM220A
152,FAM221A
153,FBXL13
154,FBXL18
155,FBXO24
156,FERD3L
157,FIGNL1
158,FIS1
159,FKBP14
160,FKBP9
161,FNDC11
162,FOXK1
163,FSCN1
164,FZD1
165,GAL3ST4
166,GARS
167,GATA5
168,GATAD1
169,GCK
170,GET4
171,GGCT
172,GHRHR
173,GID8
174,GIGYF1
175,GJC3
176,GLCCI1
177,GLI3
178,GMEB2
179,GNA12
180,GNAS
181,GNB2
182,GNG11
183,GNGT1
184,GPC2
185,GPER1
186,GPNMB
187,GPR141
188,GPR146
189,GPR22
190,GRB10
191,GRID2IP
192,GRIFIN
193,GRM3
194,GTPBP10
195,H2AFV
196,HBP1
197,HDAC9
198,HECW1
199,HELZ2
200,HEPACAM2
201,HERPUD2
202,HIBADH
203,HNRNPA2B1
204,HOXA1
205,HOXA10
206,HOXA11
207,HOXA13
208,HOXA2
209,HOXA3
210,HOXA4
211,HOXA5
212,HOXA6
213,HOXA7
214,HOXA9
215,HRH3
216,HUS1
217,ICA1
218,IFT22
219,IGF2BP3
220,IGFBP1
221,IGFBP3
222,IKZF1
223,IL6
224,INHBA
225,INMT
226,INTS1
227,IQCE
228,ISPD
229,ITGB8
230,JAZF1
231,KBTBD2
232,KDELR2
233,KIAA0895
234,KLHL7
235,KMT2E
236,KPNA7
237,KRIT1
238,LAMA5
239,LAMB1
240,LAMB4
241,LAMTOR4
242,LANCL2
243,LFNG
244,LHFPL3
245,LIME1
246,LKAAEAR1
247,LMTK2
248,LRCH4
249,LRRC17
250,LRRC72
251,LRRD1
252,LRWD1
253,LSM14B
254,LSM5
255,MACC1
256,MAD1L1
257,MAFK
258,MALSU1
259,MBLAC1
260,MCM7
261,MDM4
262,MEOX2
263,MEPCE
264,MICALL2
265,MINDY4
266,MIOS
267,MMD2
268,MOGAT3
269,MOSPD3
270,MPLKIP
271,MPP6
272,MRGBP
273,MRM2
274,MRPL32
275,MRPS17
276,MRPS24
277,MTERF1
278,MTG2
279,MTRNR2L3
280,MTRNR2L6
281,MTURN
282,MUC12
283,MUC17
284,MUC3A
285,MYL10
286,MYL7
287,MYO1G
288,NACAD
289,NAMPT
290,NAPEPLD
291,NAT16
292,NDUFA4
293,NELFCD
294,NEUROD6
295,NFE2L3
296,NFE4
297,NKAIN4
298,NME8
299,NOD1
300,NPC1L1
301,NPEPL1
302,NPSR1
303,NPTX2
304,NPVF
305,NPY
306,NRCAM
307,NT5C3A
308,NUDCD3
309,NUDT1
310,NUPL2
311,NUPR2
312,NXPH1
313,NYAP1
314,OCM
315,OCM2
316,OGDH
317,OGFR
318,OR2AE1
319,ORAI2
320,ORC5
321,OSBPL2
322,OSBPL3
323,PAPOLB
324,PCK1
325,PCOLCE
326,PDAP1
327,PDE1C
328,PDGFA
329,PDK4
330,PEG10
331,PEX1
332,PGAM2
333,PHACTR3
334,PHF14
