,ENDO,GBM,BRCA,HNSCC,LUAD,OVARIAN,CCRCC
0,AARD,A1BG,7SK,A4GNT,AARD,AADAC,AASS
1,ABCB10,AAR2,AARD,AADAC,ABCA13,AADACL2,ABCA13
2,ABHD16B,AASS,ABCB10,AADACL2,ABCB10,AARD,ABCB1
3,ABL2,ABCA13,ABL2,AADACL2-AS1,ABCB5,ABCC5,ABCB4
4,ACBD3,ABCA7,ABRA,AADACP1,ABCD1,ABCF3,ABCB5
5,ACBD3-AS1,ABCB1,ACA64,AARD,ABHD12B,ABRA,ABCB8
6,ACBD6,ABCB4,ACBD3,ABCC5,ABHD16B,ACPL2,ABCF2
7,ACKR1,ABCB5,ACBD6,ABCC5-AS1,ABL2,ACRBP,ABHD11
8,ACP6,ABCB8,ACP6,ABCF3,ABRA,ACTL6A,ABLIM3
9,ACTA1,ABCF2,ACTA1,ABRA,AC005281.1,ACTRT3,AC002429.5
10,ACTN2,ABHD11,ACTN2,ABTB1,AC138647.1,ADCY8,AC005281.1
11,ADAM15,ABHD12,ADAM15,AC000058.1,ACBD3,AGO2,AC009014.3
12,ADAMTS4,ABHD16B,ADAMTS4,AC000065.1,ACBD6,AGTR1,AC113404.1
13,ADAMTSL4,ABHD17A,ADAMTSL4,AC000065.2,ACKR1,AHSG,AC138517.6
14,ADAMTSL4-AS1,ABHD8,ADAR,AC000120.1,ACP6,ALG3,ACHE
15,ADAR,AC000120.2,ADCK3,AC000120.2,ACSL4,ANGPT1,ACOT12
16,ADCY10,AC000120.3,ADCK5,AC000120.3,ACTA1,ANKRD46,ACSL6
17,ADCY8,AC002985.1,ADCY10,AC002064.1,ACTB,ANKUB1,ACTB
18,ADIPOR1,AC003002.1,ADCY8,AC002064.2,ACTN2,ANXA13,ACTBL2
19,ADORA1,AC003002.2,ADHFE1,AC002064.3,ACTR10,AP2M1,ACTL6B
20,ADRM1,AC003002.3,ADIPOR1,AC002069.1,ACTRT1,APCDD1L,ACTR3B
21,ADSS,AC003005.1,ADORA1,AC002069.2,ADAM15,ARC,ACTR3C
22,AGT,AC003006.1,ADSS,AC002069.3,ADAMTS12,ARFRP1,ADAM19
23,AHCTF1,AC004076.1,AGO2,AC002074.1,ADAMTS16,ARHGEF26,ADAM22
24,AIDA,AC004080.3,AGPAT6,AC002074.2,ADAMTS4,ARL14,ADAMTS19
