Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2018,nucleolar part (GO:0044452),3/153,0.0119427712207271,1.0,0,0,6.325110689437065,28.005244164512334,POP1;POLR2K;MTDH
GO_Cellular_Component_2018,vacuole (GO:0005773),2/62,0.015868300446003437,1.0,0,0,10.40582726326743,43.11583602942679,PLEKHF2;TP53INP1
GO_Cellular_Component_2018,autophagosome (GO:0005776),2/64,0.016850519716471838,1.0,0,0,10.080645161290322,41.1630421265312,PLEKHF2;TP53INP1
GO_Cellular_Component_2018,clathrin vesicle coat (GO:0030125),1/6,0.01845858897702852,1.0,0,0,53.76344086021506,214.6357790112665,NCALD
GO_Cellular_Component_2018,nucleolar ribonuclease P complex (GO:0005655),1/6,0.01845858897702852,1.0,0,0,53.76344086021506,214.6357790112665,POP1
GO_Cellular_Component_2018,mitochondrial inner membrane (GO:0005743),4/341,0.0213528192500219,1.0,0,0,3.7839371866427016,14.555184935555296,NDUFAF6;UQCRB;SLC25A32;COX6C
GO_Cellular_Component_2018,multivesicular body membrane (GO:0032585),1/7,0.021502267689373616,1.0,0,0,46.08294930875576,176.9399481790852,LAPTM4B
GO_Cellular_Component_2018,clathrin coat of trans-Golgi network vesicle (GO:0030130),1/8,0.024536660972781548,1.0,0,0,40.32258064516129,149.49947232402573,NCALD
GO_Cellular_Component_2018,multimeric ribonuclease P complex (GO:0030681),1/10,0.030577701961505162,1.0,0,0,32.25806451612903,112.49949128125263,POP1
GO_Cellular_Component_2018,ribonuclease P complex (GO:0030677),1/11,0.03358440490598319,1.0,0,0,29.32551319648094,99.52180233026488,POP1
GO_Cellular_Component_2018,SAGA complex (GO:0000124),1/12,0.03658193288429582,1.0,0,0,26.88172043010753,88.9301289649137,ENY2
GO_Cellular_Component_2018,nucleoplasm part (GO:0044451),4/407,0.03742418253804152,1.0,0,0,3.170325750970912,10.415909302008087,ESRP1;EIF3E;POLR2K;MTDH
GO_Cellular_Component_2018,DNA-directed RNA polymerase I complex (GO:0005736),1/13,0.03957031337568825,1.0,0,0,24.813895781637722,80.14084625531119,POLR2K
GO_Cellular_Component_2018,lysosome (GO:0005764),4/422,0.04183617566413246,1.0,0,0,3.0576364470264488,9.704919331062463,LAPTM4B;CPQ;SDC2;ATP6V1C1
GO_Cellular_Component_2018,mitochondrial respiratory chain complex III (GO:0005750),1/14,0.04254957378370724,1.0,0,0,23.04147465437788,72.74390416698306,UQCRB
GO_Cellular_Component_2018,vacuolar proton-transporting V-type ATPase complex (GO:0016471),1/16,0.048480843602201,1.0,0,0,20.161290322580644,61.01988984550353,ATP6V1C1
GO_Cellular_Component_2018,"DNA-directed RNA polymerase II, core complex (GO:0005665)",1/17,0.051432907463083766,1.0,0,0,18.9753320683112,56.30886315672011,POLR2K
GO_Cellular_Component_2018,DNA-directed RNA polymerase III complex (GO:0005666),1/18,0.054375960129224334,1.0,0,0,17.921146953405014,52.1833894655955,POLR2K
GO_Cellular_Component_2018,pre-autophagosomal structure (GO:0000407),1/23,0.06895699900429587,1.0,0,0,14.025245441795231,37.507323583348885,PLEKHF2
GO_Cellular_Component_2018,nuclear inner membrane (GO:0005637),1/25,0.07472727643781603,1.0,0,0,12.903225806451616,33.46980783315944,DPY19L4
GO_Cellular_Component_2018,polysomal ribosome (GO:0042788),1/28,0.0833167803042863,1.0,0,0,11.52073732718894,28.630245459301573,RPL30
GO_Cellular_Component_2018,multivesicular body (GO:0005771),1/29,0.08616247709572028,1.0,0,0,11.123470522803117,27.2694159799438,LAPTM4B
GO_Cellular_Component_2018,spindle midzone (GO:0051233),1/30,0.08899948198804453,1.0,0,0,10.752688172043012,26.012093866946092,GEM
GO_Cellular_Component_2018,endosomal part (GO:0044440),1/31,0.09182782112653406,1.0,0,0,10.40582726326743,24.847450206964346,LAPTM4B
GO_Cellular_Component_2018,focal adhesion (GO:0005925),3/356,0.09838404059491468,1.0,0,0,2.7183762232693005,6.303579223869346,RPL30;PABPC1;YWHAZ
