Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2019_Human,Oocyte meiosis,3/125,0.006892049506412822,1.0,0,0,7.741935483870968,38.5346073071342,CCNE2;FBXO43;YWHAZ
KEGG_2019_Human,Oxidative phosphorylation,3/133,0.008170007264720369,1.0,0,0,7.276255154014068,34.979035757331765,UQCRB;COX6C;ATP6V1C1
KEGG_2019_Human,Hippo signaling pathway,3/160,0.013463318025293786,1.0,0,0,6.048387096774193,26.055160131608602,FZD6;GDF6;YWHAZ
KEGG_2019_Human,RNA transport,3/165,0.014614087403126053,1.0,0,0,5.865102639296187,24.784570820237583,POP1;EIF3E;PABPC1
KEGG_2019_Human,p53 signaling pathway,2/72,0.021029398568368524,1.0,0,0,8.960573476702507,34.60424631203071,RRM2B;CCNE2
KEGG_2019_Human,Huntington disease,3/193,0.022067986007006067,1.0,0,0,5.014206919605549,19.122316484994645,UQCRB;COX6C;POLR2K
KEGG_2019_Human,Cardiac muscle contraction,2/78,0.02441669398672569,1.0,0,0,8.271298593879239,30.707098435429522,UQCRB;COX6C
KEGG_2019_Human,Rheumatoid arthritis,2/91,0.032455232576033034,1.0,0,0,7.0896845090393485,24.302684143314053,ANGPT1;ATP6V1C1
KEGG_2019_Human,Thermogenesis,3/231,0.03494546744294865,1.0,0,0,4.189359028068706,14.050969860114892,NDUFAF6;UQCRB;COX6C
KEGG_2019_Human,Cell cycle,2/124,0.05666280486739288,1.0,0,0,5.202913631633715,14.935677847664984,CCNE2;YWHAZ
KEGG_2019_Human,Parkinson disease,2/142,0.07182594139250559,1.0,0,0,4.543389368468878,11.965059370513744,UQCRB;COX6C
KEGG_2019_Human,Non-alcoholic fatty liver disease (NAFLD),2/149,0.07804217966536556,1.0,0,0,4.329941545789132,11.043541171303882,UQCRB;COX6C
KEGG_2019_Human,Gastric cancer,2/149,0.07804217966536556,1.0,0,0,4.329941545789132,11.043541171303882,CCNE2;FZD6
KEGG_2019_Human,Collecting duct acid secretion,1/27,0.08046236546006222,1.0,0,0,11.947431302270012,30.107117248354786,ATP6V1C1
KEGG_2019_Human,mTOR signaling pathway,2/152,0.08075690025907611,1.0,0,0,4.244482173174871,10.680440867595136,FZD6;ATP6V1C1
KEGG_2019_Human,Human papillomavirus infection,3/330,0.08275171058877683,1.0,0,0,2.9325513196480935,7.307655698448466,CCNE2;FZD6;ATP6V1C1
KEGG_2019_Human,Cushing syndrome,2/155,0.08350087997330946,1.0,0,0,4.1623309053069715,10.334643532063893,CCNE2;FZD6
KEGG_2019_Human,Hepatitis C,2/155,0.08350087997330946,1.0,0,0,4.1623309053069715,10.334643532063893,EIF3E;YWHAZ
KEGG_2019_Human,Wnt signaling pathway,2/158,0.08627336395212229,1.0,0,0,4.083299305839119,10.005040315852783,FZD6;RSPO2
KEGG_2019_Human,Hepatitis B,2/163,0.09095549829628474,1.0,0,0,3.9580447259054035,9.48895674565791,CCNE2;YWHAZ
KEGG_2019_Human,RNA polymerase,1/31,0.09182782112653406,1.0,0,0,10.40582726326743,24.847450206964346,POLR2K
KEGG_2019_Human,PI3K-Akt signaling pathway,3/354,0.09714102740259413,1.0,0,0,2.7337342810278846,6.373951518879773,ANGPT1;CCNE2;YWHAZ
KEGG_2019_Human,Alzheimer disease,2/171,0.09859892097275604,1.0,0,0,3.7728730428221087,8.740595966476528,UQCRB;COX6C
KEGG_2019_Human,Homologous recombination,1/41,0.11964028426189298,1.0,0,0,7.867820613690008,16.705473400835352,RAD54B
KEGG_2019_Human,Viral carcinogenesis,2/201,0.12872079473260906,1.0,0,0,3.209757663296421,6.580355006252546,CCNE2;YWHAZ
KEGG_2019_Human,Proteoglycans in cancer,2/201,0.12872079473260906,1.0,0,0,3.209757663296421,6.580355006252546,SDC2;FZD6
