Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
NCI-Nature_2016,Wnt signaling network Homo sapiens 987a2b9f-6196-11e5-8ac5-06603eb7f303,2/28,0.0033932854104427586,0.7091966507825366,0,0,23.04147465437788,131.01282671167974,FZD6;CTHRC1
NCI-Nature_2016,Noncanonical Wnt signaling pathway Homo sapiens 7ff5fe76-6194-11e5-8ac5-06603eb7f303,2/32,0.0044172628619499185,0.4616039690737665,0,0,20.161290322580644,109.31925477251451,FZD6;CTHRC1
NCI-Nature_2016,SHP2 signaling Homo sapiens 85755aa4-6195-11e5-8ac5-06603eb7f303,2/57,0.013525876056001874,0.9423026985681304,0,0,11.318619128466327,48.705723636222565,ANGPT1;SDC2
NCI-Nature_2016,p38 signaling mediated by MAPKAP kinases Homo sapiens 9d980dbc-6194-11e5-8ac5-06603eb7f303,1/21,0.06315132089981415,1.0,0,0,15.360983102918587,42.43043799604802,YWHAZ
NCI-Nature_2016,Direct p53 effectors Homo sapiens 67c3b75d-6191-11e5-8ac5-06603eb7f303,2/136,0.06663541538726042,1.0,0,0,4.743833017077799,12.848762240037615,RRM2B;TP53INP1
NCI-Nature_2016,IL3-mediated signaling events Homo sapiens c868db9f-6193-11e5-8ac5-06603eb7f303,1/26,0.07759920628090147,1.0,0,0,12.406947890818861,31.714616379456235,YWHAZ
NCI-Nature_2016,Insulin-mediated glucose transport Homo sapiens 145e3376-6194-11e5-8ac5-06603eb7f303,1/27,0.08046236546006222,1.0,0,0,11.947431302270012,30.107117248354786,YWHAZ
NCI-Nature_2016,IGF1 pathway Homo sapiens 5e904cd6-6193-11e5-8ac5-06603eb7f303,1/28,0.0833167803042863,1.0,0,0,11.52073732718894,28.630245459301573,YWHAZ
NCI-Nature_2016,Alpha4 beta1 integrin signaling events Homo sapiens aa07df5d-6187-11e5-8ac5-06603eb7f303,1/32,0.09464752052454456,1.0,0,0,10.080645161290322,23.76608465649279,YWHAZ
NCI-Nature_2016,Syndecan-2-mediated signaling events Homo sapiens fe05ead7-6195-11e5-8ac5-06603eb7f303,1/33,0.09745860611907067,1.0,0,0,9.775171065493646,22.759800036668945,SDC2
NCI-Nature_2016,Class I PI3K signaling events mediated by Akt Homo sapiens 046a84e6-6191-11e5-8ac5-06603eb7f303,1/34,0.10026110381701643,1.0,0,0,9.487666034155598,21.821418004383663,YWHAZ
NCI-Nature_2016,HIF-2-alpha transcription factor network Homo sapiens 37358832-6193-11e5-8ac5-06603eb7f303,1/34,0.10026110381701643,1.0,0,0,9.487666034155598,21.821418004383663,EIF3E
NCI-Nature_2016,GMCSF-mediated signaling events Homo sapiens 095aa3ef-6193-11e5-8ac5-06603eb7f303,1/36,0.10584043864033443,1.0,0,0,8.960573476702507,20.123858555663137,YWHAZ
NCI-Nature_2016,Trk receptor signaling mediated by PI3K and PLC-gamma Homo sapiens 4037def0-6196-11e5-8ac5-06603eb7f303,1/36,0.10584043864033443,1.0,0,0,8.960573476702507,20.123858555663137,YWHAZ
