Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2016,Transcriptional Regulation by TP53 Homo sapiens R-HSA-3700989,6/348,0.0007195994695088214,1.0,0,0,5.561735261401559,40.249253576702046,RRM2B;CCNE2;TP53INP1;COX6C;YWHAZ;POLR2K
Reactome_2016,Gene Expression Homo sapiens R-HSA-74160,13/1631,0.001271364067043345,0.9725935112881589,0,0,2.5711516781709225,17.143577762077967,RPL30;POP1;COX6C;YWHAZ;RRM2B;ZNF706;CCNE2;TP53INP1;EIF3E;PABPC1;INTS8;DCAF13;POLR2K
Reactome_2016,Regulation of FZD by ubiquitination Homo sapiens R-HSA-4641263,2/21,0.001911633261834989,0.9749329635358448,0,0,30.721966205837173,192.31328084222028,FZD6;RSPO2
Reactome_2016,TP53 Regulates Metabolic Genes Homo sapiens R-HSA-5628897,3/84,0.002260868977423911,0.8647823838646459,0,0,11.52073732718894,70.18440134003998,RRM2B;COX6C;YWHAZ
Reactome_2016,Respiratory electron transport Homo sapiens R-HSA-611105,3/88,0.002581024312283317,0.789793439558695,0,0,10.997067448680351,65.53778158257461,NDUFAF6;UQCRB;COX6C
Reactome_2016,FGFR2 alternative splicing Homo sapiens R-HSA-6803529,2/26,0.002929149564514687,0.7469331389512451,0,0,24.813895781637722,144.7405247916382,ESRP1;POLR2K
Reactome_2016,L13a-mediated translational silencing of Ceruloplasmin expression Homo sapiens R-HSA-156827,3/106,0.0043620059122089685,0.9534098636685318,0,0,9.129640900791236,49.617984684852026,RPL30;EIF3E;PABPC1
Reactome_2016,3' -UTR-mediated translational regulation Homo sapiens R-HSA-157279,3/106,0.0043620059122089685,0.8342336307099653,0,0,9.129640900791236,49.617984684852026,RPL30;EIF3E;PABPC1
Reactome_2016,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. Homo sapiens R-HSA-163200",3/109,0.004715629244960174,0.8016569716432295,0,0,8.878366380585971,47.56028040087101,NDUFAF6;UQCRB;COX6C
Reactome_2016,Cap-dependent Translation Initiation Homo sapiens R-HSA-72737,3/114,0.005342636956268082,0.8174234543090163,0,0,8.488964346349745,44.414566518334894,RPL30;EIF3E;PABPC1
