Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
WikiPathways_2019_Human,Endoderm Differentiation WP2853,3/141,0.009578752223951905,1.0,0,0,6.863417982155112,31.902593984242284,UBR5;PABPC1;GRHL2
WikiPathways_2019_Human,Translation Factors WP107,2/52,0.011349440045529369,1.0,0,0,12.406947890818861,55.56559393880146,EIF3E;PABPC1
WikiPathways_2019_Human,DNA Damage Response WP707,2/68,0.018890635488296885,1.0,0,0,9.487666034155598,37.657390479273474,RRM2B;CCNE2
WikiPathways_2019_Human,miRNA Regulation of DNA Damage Response WP1530,2/71,0.02048560611148809,1.0,0,0,9.086778736937756,35.329693597066466,RRM2B;CCNE2
WikiPathways_2019_Human,Pyrimidine metabolism and related diseases WP4225,1/9,0.027561796520828474,1.0,0,0,35.84229390681003,128.7213135897718,RRM2B
WikiPathways_2019_Human,Pyrimidine metabolism WP4022,2/85,0.02862980224629695,1.0,0,0,7.590132827324477,26.970072615679502,RRM2B;POLR2K
WikiPathways_2019_Human,ncRNAs involved in Wnt signaling in hepatocellular carcinoma WP4336,2/86,0.02925390230298637,1.0,0,0,7.501875468867217,26.494690938746892,FZD6;MTDH
WikiPathways_2019_Human,Homologous recombination WP186,1/13,0.03957031337568825,1.0,0,0,24.813895781637722,80.14084625531119,RAD54B
WikiPathways_2019_Human,Purine metabolism WP4224,1/13,0.03957031337568825,1.0,0,0,24.813895781637722,80.14084625531119,RRM2B
WikiPathways_2019_Human,Kennedy pathway from Sphingolipids WP3933,1/13,0.03957031337568825,1.0,0,0,24.813895781637722,80.14084625531119,PTDSS1
WikiPathways_2019_Human,Electron Transport Chain (OXPHOS system in mitochondria) WP111,2/103,0.040664998164209806,1.0,0,0,6.263701847792045,20.058800829988296,UQCRB;COX6C
WikiPathways_2019_Human,Cell Cycle WP179,2/120,0.05346696079258787,1.0,0,0,5.376344086021506,15.745652532928558,CCNE2;YWHAZ
WikiPathways_2019_Human,Nucleotide Metabolism WP404,1/19,0.05731002862727961,1.0,0,0,16.97792869269949,48.544646025506076,RRM2B
WikiPathways_2019_Human,Glycerophospholipid Biosynthetic Pathway WP2533,1/21,0.06315132089981415,1.0,0,0,15.360983102918587,42.43043799604802,PTDSS1
WikiPathways_2019_Human,miRNA targets in ECM and membrane receptors WP2911,1/22,0.06605859834459576,1.0,0,0,14.66275659824047,39.8418339759337,SDC2
WikiPathways_2019_Human,Angiogenesis WP1539,1/24,0.0718465495096426,1.0,0,0,13.440860215053766,35.39277810667297,ANGPT1
WikiPathways_2019_Human,Mesodermal Commitment Pathway WP2857,2/147,0.07624899883088522,1.0,0,0,4.388852315119596,11.295813007099266,UBR5;GRHL2
WikiPathways_2019_Human,Wnt/beta-catenin Signaling Pathway in Leukemia WP3658,1/26,0.07759920628090147,1.0,0,0,12.406947890818861,31.714616379456235,FZD6
WikiPathways_2019_Human,Nonalcoholic fatty liver disease WP4396,2/155,0.08350087997330946,1.0,0,0,4.1623309053069715,10.334643532063893,UQCRB;COX6C
WikiPathways_2019_Human,Gastric Cancer Network 2 WP2363,1/31,0.09182782112653406,1.0,0,0,10.40582726326743,24.847450206964346,MTDH
WikiPathways_2019_Human,Wnt Signaling in Kidney Disease WP4150,1/36,0.10584043864033443,1.0,0,0,8.960573476702507,20.123858555663137,FZD6
WikiPathways_2019_Human,Photodynamic therapy-induced HIF-1 survival signaling WP3614,1/37,0.10861732713979637,1.0,0,0,8.718395815170009,19.354179024575924,ANGPT1
WikiPathways_2019_Human,Parkinsons Disease Pathway WP2371,1/38,0.11138573047284406,1.0,0,0,8.488964346349745,18.63120587773259,CCNE2
WikiPathways_2019_Human,Eukaryotic Transcription Initiation WP405,1/43,0.12510135988509696,1.0,0,0,7.501875468867217,15.593630841589544,POLR2K
WikiPathways_2019_Human,Tryptophan metabolism WP465,1/46,0.13323053626030973,1.0,0,0,7.012622720897616,14.135163365682775,UBR5
WikiPathways_2019_Human,Selenium Metabolism and Selenoproteins WP28,1/46,0.13323053626030973,1.0,0,0,7.012622720897616,14.135163365682775,RPL30
WikiPathways_2019_Human,Exercise-induced Circadian Regulation WP410,1/48,0.13860865387730728,1.0,0,0,6.720430107526883,13.280247018738455,AZIN1
WikiPathways_2019_Human,Pathogenic Escherichia coli infection WP2272,1/55,0.15717478081657915,1.0,0,0,5.865102639296187,10.852767385526857,YWHAZ
WikiPathways_2019_Human,Mitochondrial complex I assembly model OXPHOS system WP4324,1/56,0.15979474006921715,1.0,0,0,5.76036866359447,10.563739411887843,NDUFAF6
WikiPathways_2019_Human,Genotoxicity pathway WP4286,1/63,0.1779114276898999,1.0,0,0,5.120327700972863,8.840089348593958,RRM2B
WikiPathways_2019_Human,G1 to S cell cycle control WP45,1/64,0.18046795162703247,1.0,0,0,5.040322580645161,8.630050757492421,CCNE2
WikiPathways_2019_Human,Association Between Physico-Chemical Features and Toxicity Associated Pathways WP3680,1/66,0.18555755584543585,1.0,0,0,4.887585532746823,8.232601031086594,FZD6
WikiPathways_2019_Human,RAC1/PAK1/p38/MMP2 Pathway WP3303,1/68,0.19061605836126966,1.0,0,0,4.743833017077799,7.862874951033684,ANGPT1
WikiPathways_2019_Human,Peptide GPCRs WP24,1/74,0.20560682003422048,1.0,0,0,4.3591979075850045,6.895333803742883,TRHR
WikiPathways_2019_Human,Prolactin Signaling Pathway WP2037,1/76,0.210542774482205,1.0,0,0,4.244482173174871,6.613185239014764,YWHAZ
WikiPathways_2019_Human,Viral Acute Myocarditis WP4298,1/84,0.2299866230734169,1.0,0,0,3.840245775729647,5.644140293013416,PABPC1
WikiPathways_2019_Human,Retinoblastoma Gene in Cancer WP2446,1/87,0.2371559356265492,1.0,0,0,3.7078235076010384,5.335696692529266,CCNE2
WikiPathways_2019_Human,Cytoplasmic Ribosomal Proteins WP477,1/89,0.2418989494871381,1.0,0,0,3.624501631025734,5.14402031218685,RPL30
